sentence,title
山有木兮木有枝，心悦君兮君不知。,佚名《越人歌》
人生若只如初见，何事秋风悲画扇。,纳兰性德《木兰花·拟古决绝词柬友》
曾经沧海难为水，除却巫山不是云。,元稹《离思五首·其四》
人生如逆旅，我亦是行人。,苏轼《临江仙·送钱穆父》
十年生死两茫茫，不思量，自难忘。,苏轼《江城子·乙卯正月二十日夜记梦》
雨打梨花深闭门，忘了青春，误了青春。,唐寅《一剪梅·雨打梨花深闭门》
玲珑骰子安红豆，入骨相思知不知。,温庭筠《南歌子词二首 / 新添声杨柳枝词》
入我相思门，知我相思苦，,李白《三五七言 / 秋风词》
醉后不知天在水，满船清梦压星河。,唐温如《题龙阳县青草湖》
只愿君心似我心，定不负相思意。,李之仪《卜算子·我住长江头》
两情若是久长时，又岂在朝朝暮暮。,秦观《鹊桥仙·纤云弄巧》
山无陵，江水为竭，冬雷震震，夏雨雪。天地合，乃敢与君绝。,佚名《上邪》
平生不会相思，才会相思，便害相思。,徐再思《折桂令·春情》
云想衣裳花想容，春风拂槛露华浓。,李白《清平调·其一》
愿得一心人，白头不相离。,卓文君《白头吟》
人生自是有情痴，此恨不关风与月。,欧阳修《玉楼春·尊前拟把归期说》
春宵一刻值千金，花有清香月有阴。,苏轼《春宵·春宵一刻值千金》
身无彩凤双飞翼，心有灵犀一点通。,李商隐《无题·昨夜星辰昨夜风》
一日不见兮，思之如狂。,司马相如《凤求凰 / 琴歌》
少年不识愁滋味，爱上层楼。爱上层楼，为赋新词强说愁。,辛弃疾《丑奴儿·书博山道中壁》
春风得意马蹄疾，一日看尽长安花。,孟郊《登科后》
去年今日此门中，人面桃花相映红。,崔护《题都城南庄》
花自飘零水自流。一种相思，两处闲愁。,李清照《一剪梅·红藕香残玉簟秋》
宠辱不惊，闲看庭前花开花落；去留无意，漫随天外云卷云舒。,《菜根谭·概论》
君埋泉下泥销骨，我寄人间雪满头。,白居易《梦微之》
休对故人思故国，且将新火试新茶。诗酒趁年华。,苏轼《望江南·超然台作》
世间无限丹青手，一片伤心画不成。,高蟾《金陵晚望》
问世间，情是何物，直教生死相许？,元好问《摸鱼儿·雁丘词 / 迈陂塘》
一声梧叶一声秋，一点芭蕉一点愁，三更归梦三更后。,徐再思《水仙子·夜雨》
晓看天色暮看云，行也思君，坐也思君。,唐寅《一剪梅·雨打梨花深闭门》
滚滚长江东逝水，浪花淘尽英雄。,杨慎《临江仙·滚滚长江东逝水》
桃李春风一杯酒，江湖夜雨十年灯。,黄庭坚《寄黄几复》
林花谢了春红，太匆匆。无奈朝来寒雨晚来风。,李煜《相见欢·林花谢了春红》
毋意，毋必，毋固，毋我。,《论语·子罕篇》
人面不知何处去，桃花依旧笑春风。,崔护《题都城南庄》
抽刀断水水更流，举杯消愁愁更愁。,李白《宣州谢脁楼饯别校书叔云 / 陪侍御叔华登楼歌》
仰天大笑出门去，我辈岂是蓬蒿人。,李白《南陵别儿童入京》
执子之手，与子偕老。,佚名《击鼓》
一往情深深几许？深山夕照深秋雨。,纳兰性德《蝶恋花·出塞》
似此星辰非昨夜，为谁风露立中宵。,黄景仁《绮怀》
昨夜西风凋碧树，独上高楼，望尽天涯路。,晏殊《蝶恋花·槛菊愁烟兰泣露》
菩提本无树，明镜亦非台。,惠能《菩提偈》
行到水穷处，坐看云起时。,王维《终南别业 / 初至山中 / 入山寄城中故人》
此情可待成追忆？只是当时已惘然。,李商隐《锦瑟》
自在飞花轻似梦，无边丝雨细如愁。,秦观《浣溪沙·漠漠轻寒上小楼》
最是人间留不住，朱颜辞镜花辞树。,王国维《蝶恋花·阅尽天涯离别苦》
沾衣欲湿杏花雨，吹面不寒杨柳风。,志南《绝句》
劝君莫惜金缕衣，劝君惜取少年时。,杜秋娘《金缕衣》
疏影横斜水清浅，暗香浮动月黄昏。,林逋《山园小梅·其一》
近水楼台先得月，向阳花木易为春。,苏麟《断句》
一生大笑能几回，斗酒相逢须醉倒。,岑参《凉州馆中与诸判官夜集》
今人不见古时月，今月曾经照古人。,李白《把酒问月·故人贾淳令予问之》
夜月一帘幽梦，春风十里柔情。,秦观《八六子·倚危亭》
浮云一别后，流水十年间。,韦应物《淮上喜会梁川故人 / 淮上喜会梁州故人》
黄沙百战穿金甲，不破楼兰终不还。,王昌龄《从军行七首·其四》
若是前生未有缘，待重结、来生愿。,乐婉《卜算子·答施》
取次花丛懒回顾，半缘修道半缘君。,元稹《离思五首·其四》
时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒。,晏殊《采桑子·时光只解催人老》
众里寻他千百度，蓦然回首，那人却在，灯火阑珊处。,辛弃疾《青玉案·元夕》
红酥手，黄縢酒，满城春色宫墙柳。,陆游《钗头凤·红酥手》
思悠悠，恨悠悠，恨到归时方始休。,白居易《长相思·汴水流》
落花人独立，微雨燕双飞。,晏几道《临江仙·梦后楼台高锁》
宁可枝头抱香死，何曾吹落北风中。,郑思肖《画菊》
我见青山多妩媚，料青山见我应如是。,辛弃疾《贺新郎·甚矣吾衰矣》
凤凰台上凤凰游，凤去台空江自流。,李白《登金陵凤凰台》
问君能有几多愁？恰似一江春水向东流。,李煜《虞美人·春花秋月何时了》
小楼一夜听春雨，深巷明朝卖杏花。,陆游《临安春雨初霁》
溪云初起日沉阁，山雨欲来风满楼。,许浑《咸阳城东楼 / 咸阳城西楼晚眺 / 西门》
直道相思了无益，未妨惆怅是清狂。,李商隐《无题·重帏深下莫愁堂》
空山新雨后，天气晚来秋。,王维《山居秋暝》
男儿何不带吴钩，收取关山五十州。,李贺《南园十三首·其五》
桃之夭夭，灼灼其华。,佚名《桃夭》
纸上得来终觉浅，绝知此事要躬行。,陆游《冬夜读书示子聿》
二十四桥明月夜，玉人何处教吹箫？,杜牧《寄扬州韩绰判官》
人间有味是清欢。,苏轼《浣溪沙·细雨斜风作晓寒》
待到秋来九月八，我花开后百花杀。,黄巢《不第后赋菊》
还君明珠双泪垂，恨不相逢未嫁时。,张籍《节妇吟·寄东平李司空师道》
君子有九思：视思明，听思聪，色思温，貌思恭，言思忠，事思敬，疑思问，忿思难，见得思义。,《论语·季氏篇》
月上柳梢头，人约黄昏后。,欧阳修《生查子·元夕》
天下熙熙，皆为利来；天下攘攘，皆为利往。,《史记·货殖列传》
寂寞空庭春欲晚，梨花满地不开门。,刘方平《春怨》
时人不识凌云木，直待凌云始道高。,杜荀鹤《小松》
人间四月芳菲尽，山寺桃花始盛开。,白居易《大林寺桃花》
不经一番寒彻骨，怎得梅花扑鼻香。,黄蘖禅师《上堂开示颂》
一骑红尘妃子笑，无人知是荔枝来。,杜牧《过华清宫绝句三首》
怕相思，已相思，轮到相思没处辞，眉间露一丝。,俞彦《长相思·折花枝》
青山一道同云雨，明月何曾是两乡。,王昌龄《送柴侍御》
青山依旧在，几度夕阳红。,杨慎《临江仙·滚滚长江东逝水》
江南无所有，聊赠一枝春。,陆凯《赠范晔诗》
试问岭南应不好，却道：此心安处是吾乡。,苏轼《少年游·南海归赠王定国侍人寓娘》
欲买桂花同载酒，终不似，少年游。,刘过《唐多令·芦叶满汀洲》
读书不觉已春深，一寸光阴一寸金。,王贞白《白鹿洞二首·其一》
天涯地角有穷时，只有相思无尽处。,晏殊《玉楼春·春恨》
